epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3065.53,1.36363,1.60201,1.34675,0.57689,0.61136,0.61985,0.31593,1.56685,1.47862,1.41959,0.00079705,0.00079705,0.00079705
43,3158.81,1.37441,1.56962,1.35382,0.60108,0.60675,0.6543,0.35045,1.52339,1.43224,1.40491,0.0007921,0.0007921,0.0007921
44,3248.24,1.36314,1.61104,1.3532,0.59399,0.61142,0.6366,0.33576,1.51861,1.43381,1.39751,0.00078715,0.00078715,0.00078715
45,3339.87,1.36061,1.59466,1.36284,0.55998,0.62522,0.62918,0.33585,1.51986,1.43429,1.4101,0.0007822,0.0007822,0.0007822
46,3428.85,1.36426,1.55182,1.35211,0.59081,0.61602,0.64845,0.34425,1.54662,1.4429,1.40304,0.00077725,0.00077725,0.00077725
47,3519.41,1.36737,1.54568,1.34537,0.62465,0.60168,0.64798,0.34365,1.52313,1.43119,1.39892,0.0007723,0.0007723,0.0007723
48,3610.99,1.37754,1.5713,1.36564,0.63093,0.63831,0.66659,0.35936,1.5264,1.39414,1.3882,0.00076735,0.00076735,0.00076735
49,3701.61,1.35009,1.52799,1.34511,0.57582,0.62183,0.65423,0.349,1.56099,1.35856,1.4059,0.0007624,0.0007624,0.0007624
50,3791.23,1.3691,1.5783,1.35561,0.54062,0.59469,0.62226,0.32142,1.5547,1.52257,1.45321,0.00075745,0.00075745,0.00075745
51,3876.08,1.37405,1.56849,1.36039,0.61031,0.60403,0.64316,0.33989,1.56873,1.43471,1.43813,0.0007525,0.0007525,0.0007525
52,3959.94,1.35768,1.52768,1.35339,0.54469,0.59557,0.6183,0.32461,1.54323,1.45961,1.4333,0.00074755,0.00074755,0.00074755
53,4047.71,1.35599,1.52457,1.34885,0.61415,0.63141,0.66656,0.35421,1.51424,1.38504,1.37699,0.0007426,0.0007426,0.0007426
54,4133.16,1.35861,1.50731,1.35046,0.57928,0.66624,0.67434,0.36312,1.49415,1.36988,1.39832,0.00073765,0.00073765,0.00073765
55,4218.1,1.35999,1.51484,1.35541,0.63642,0.60924,0.6821,0.36605,1.5216,1.3319,1.40223,0.0007327,0.0007327,0.0007327
56,4302.3,1.3521,1.49232,1.34379,0.63727,0.61294,0.66582,0.34972,1.54578,1.3916,1.42376,0.00072775,0.00072775,0.00072775
57,4387.01,1.34174,1.49472,1.34696,0.67576,0.6048,0.656,0.33383,1.58242,1.41839,1.42577,0.0007228,0.0007228,0.0007228
58,4471.53,1.36753,1.49944,1.35308,0.59431,0.63801,0.66708,0.35707,1.52264,1.38188,1.41313,0.00071785,0.00071785,0.00071785
59,4556,1.37184,1.52499,1.35412,0.60742,0.63815,0.65861,0.35976,1.53951,1.37071,1.40008,0.0007129,0.0007129,0.0007129
60,4642.2,1.36013,1.53038,1.35655,0.58804,0.64241,0.66502,0.35819,1.54842,1.36038,1.4077,0.00070795,0.00070795,0.00070795
61,4726.32,1.34345,1.52404,1.35371,0.59645,0.64173,0.67571,0.37491,1.49849,1.30968,1.39247,0.000703,0.000703,0.000703
62,4810.44,1.34885,1.46773,1.35691,0.63561,0.65169,0.68042,0.37101,1.50103,1.31969,1.39265,0.00069805,0.00069805,0.00069805
63,4895.15,1.33898,1.51952,1.35515,0.65811,0.58986,0.63897,0.34124,1.58076,1.43701,1.4341,0.0006931,0.0006931,0.0006931
64,4979.99,1.32975,1.50434,1.3425,0.62878,0.62192,0.67341,0.35695,1.53731,1.37679,1.3899,0.00068815,0.00068815,0.00068815
65,5064.87,1.33338,1.50316,1.3534,0.66863,0.60226,0.67961,0.36553,1.50403,1.34619,1.39267,0.0006832,0.0006832,0.0006832
66,5149.11,1.32354,1.44025,1.33277,0.66596,0.62912,0.6755,0.36241,1.52622,1.32122,1.41601,0.00067825,0.00067825,0.00067825
67,5231.31,1.34327,1.4625,1.35056,0.63575,0.62138,0.6521,0.35658,1.53576,1.37158,1.42,0.0006733,0.0006733,0.0006733
68,5299.41,1.3397,1.45805,1.34759,0.61414,0.65685,0.67306,0.36362,1.53096,1.33859,1.40653,0.00066835,0.00066835,0.00066835
69,5375.98,1.31572,1.43692,1.34116,0.64634,0.63524,0.68968,0.36841,1.51843,1.35165,1.40523,0.0006634,0.0006634,0.0006634
70,5461.39,1.32989,1.4611,1.35503,0.57284,0.66082,0.68628,0.36665,1.55388,1.28666,1.41936,0.00065845,0.00065845,0.00065845
71,5550.12,1.3301,1.44072,1.33527,0.62403,0.66714,0.67647,0.37474,1.49943,1.31779,1.40903,0.0006535,0.0006535,0.0006535
72,5639.35,1.33878,1.43445,1.3453,0.6317,0.63394,0.6829,0.37277,1.54137,1.31639,1.40584,0.00064855,0.00064855,0.00064855
73,5726.76,1.32196,1.42601,1.34839,0.6684,0.61504,0.67636,0.35376,1.54986,1.34498,1.40897,0.0006436,0.0006436,0.0006436
74,5802.73,1.30471,1.39821,1.32815,0.62925,0.65172,0.68247,0.37572,1.51891,1.27839,1.39905,0.00063865,0.00063865,0.00063865
75,5888.01,1.31319,1.41062,1.32968,0.59764,0.63889,0.66486,0.36045,1.51245,1.31753,1.39684,0.0006337,0.0006337,0.0006337
76,5974.37,1.29196,1.39772,1.321,0.67611,0.6209,0.69389,0.37319,1.50978,1.28693,1.40834,0.00062875,0.00062875,0.00062875
77,6059.38,1.31743,1.421,1.34711,0.65534,0.62366,0.67832,0.36482,1.57932,1.28783,1.44218,0.0006238,0.0006238,0.0006238
78,6144.37,1.29079,1.41149,1.3339,0.6423,0.6235,0.68112,0.36878,1.52424,1.3051,1.40713,0.00061885,0.00061885,0.00061885
79,6221.67,1.30216,1.418,1.3454,0.59592,0.64856,0.67485,0.37178,1.52011,1.29494,1.41695,0.0006139,0.0006139,0.0006139
80,6288.32,1.30199,1.3877,1.33039,0.58559,0.67303,0.67811,0.37519,1.52515,1.27678,1.42129,0.00060895,0.00060895,0.00060895
81,6355.98,1.27832,1.37886,1.33352,0.63078,0.64684,0.69335,0.38781,1.48339,1.28072,1.40104,0.000604,0.000604,0.000604
82,6423.1,1.30851,1.35153,1.33033,0.68084,0.65909,0.70908,0.39332,1.49674,1.23342,1.38871,0.00059905,0.00059905,0.00059905
83,6489.86,1.31246,1.33067,1.31378,0.64407,0.63049,0.68457,0.37642,1.52705,1.28696,1.40229,0.0005941,0.0005941,0.0005941
84,6556.36,1.29504,1.34645,1.32217,0.63567,0.63936,0.6854,0.37662,1.52061,1.27007,1.39817,0.00058915,0.00058915,0.00058915
85,6622.73,1.3069,1.3909,1.33728,0.67108,0.62678,0.68954,0.37379,1.51459,1.27791,1.40153,0.0005842,0.0005842,0.0005842
86,6704.58,1.26947,1.35507,1.31523,0.64237,0.66219,0.69089,0.37575,1.51142,1.29716,1.40379,0.00057925,0.00057925,0.00057925
87,6793.2,1.281,1.35182,1.31417,0.65046,0.65014,0.68715,0.38137,1.53488,1.26842,1.42775,0.0005743,0.0005743,0.0005743
88,6878.2,1.29357,1.36474,1.32783,0.6374,0.63043,0.69366,0.3844,1.52836,1.25493,1.41644,0.00056935,0.00056935,0.00056935
89,6964.64,1.27551,1.33703,1.3213,0.60753,0.69142,0.69067,0.36948,1.58419,1.27459,1.44722,0.0005644,0.0005644,0.0005644
90,7051.07,1.29689,1.36431,1.33321,0.67316,0.6686,0.70313,0.39038,1.52605,1.23299,1.41975,0.00055945,0.00055945,0.00055945
91,7137.38,1.28304,1.34533,1.32177,0.62695,0.65962,0.7027,0.38727,1.5009,1.22811,1.39696,0.0005545,0.0005545,0.0005545
92,7223.15,1.28662,1.34241,1.31201,0.66728,0.6416,0.69311,0.3835,1.4937,1.25203,1.38784,0.00054955,0.00054955,0.00054955
93,7308.75,1.27912,1.34777,1.31526,0.59683,0.6598,0.68329,0.38382,1.47103,1.27718,1.38659,0.0005446,0.0005446,0.0005446
94,7394.91,1.27004,1.35237,1.31318,0.63246,0.66647,0.69606,0.376,1.51374,1.26419,1.41733,0.00053965,0.00053965,0.00053965
95,7481.16,1.27151,1.35002,1.32056,0.68102,0.62902,0.69259,0.38024,1.51764,1.29229,1.40094,0.0005347,0.0005347,0.0005347
96,7567.38,1.26945,1.32847,1.30586,0.64164,0.64461,0.68007,0.36599,1.54379,1.30256,1.42032,0.00052975,0.00052975,0.00052975
97,7654.59,1.27244,1.34231,1.31663,0.65337,0.65774,0.7095,0.38638,1.51645,1.24166,1.40548,0.0005248,0.0005248,0.0005248
98,7740.77,1.25727,1.29143,1.30606,0.63654,0.65393,0.69651,0.38795,1.52915,1.24026,1.40973,0.00051985,0.00051985,0.00051985
99,7826.55,1.27462,1.30594,1.31177,0.64946,0.66798,0.70367,0.37871,1.53263,1.25145,1.40385,0.0005149,0.0005149,0.0005149
100,7912.16,1.26529,1.32233,1.31699,0.68179,0.6903,0.72252,0.39651,1.53692,1.20711,1.42127,0.00050995,0.00050995,0.00050995
101,7998.23,1.25795,1.28367,1.31787,0.64028,0.67119,0.69803,0.39228,1.50791,1.22946,1.4049,0.000505,0.000505,0.000505
102,8083.46,1.27205,1.31245,1.31953,0.67992,0.67041,0.72076,0.40109,1.50643,1.25051,1.39963,0.00050005,0.00050005,0.00050005
103,8168.64,1.25454,1.28038,1.31073,0.6621,0.66683,0.72083,0.39472,1.53277,1.22741,1.42642,0.0004951,0.0004951,0.0004951
104,8250.22,1.2457,1.28098,1.3021,0.63331,0.64185,0.68665,0.3819,1.51712,1.25329,1.42323,0.00049015,0.00049015,0.00049015
105,8335.85,1.28292,1.26397,1.32113,0.66616,0.66225,0.71452,0.38987,1.51768,1.2167,1.40851,0.0004852,0.0004852,0.0004852
106,8421.74,1.26347,1.28494,1.31528,0.64676,0.67392,0.7084,0.39029,1.51245,1.21586,1.40364,0.00048025,0.00048025,0.00048025
107,8507.06,1.2781,1.29449,1.30808,0.65992,0.67452,0.7135,0.38678,1.50969,1.25382,1.39227,0.0004753,0.0004753,0.0004753
108,8592.3,1.25689,1.26429,1.30886,0.71669,0.64259,0.71681,0.38792,1.53026,1.2152,1.43435,0.00047035,0.00047035,0.00047035
109,8677.62,1.25726,1.26082,1.31508,0.71666,0.64444,0.71094,0.39016,1.52478,1.20572,1.41417,0.0004654,0.0004654,0.0004654
110,8763.53,1.25095,1.27233,1.3038,0.63366,0.6811,0.70218,0.3885,1.52907,1.21931,1.42189,0.00046045,0.00046045,0.00046045
111,8849.26,1.26465,1.24442,1.29425,0.67464,0.69238,0.71733,0.39171,1.53118,1.21066,1.42355,0.0004555,0.0004555,0.0004555
112,8934.45,1.25899,1.26439,1.30294,0.6547,0.6926,0.7249,0.40151,1.51298,1.18498,1.40123,0.00045055,0.00045055,0.00045055
113,9022.28,1.25164,1.26016,1.29296,0.74083,0.64568,0.72505,0.40484,1.50399,1.19261,1.38233,0.0004456,0.0004456,0.0004456
114,9108.13,1.24766,1.21669,1.2881,0.65919,0.69743,0.71846,0.39736,1.52855,1.19299,1.42069,0.00044065,0.00044065,0.00044065
115,9193.66,1.2546,1.2267,1.30143,0.65307,0.71212,0.7258,0.39893,1.52163,1.19303,1.40975,0.0004357,0.0004357,0.0004357
116,9278.47,1.2421,1.25598,1.29932,0.69264,0.64896,0.71573,0.39649,1.51973,1.24203,1.40813,0.00043075,0.00043075,0.00043075
117,9363.06,1.23932,1.24263,1.29545,0.62912,0.6512,0.66302,0.36202,1.59022,1.29992,1.46957,0.0004258,0.0004258,0.0004258
118,9448.19,1.25299,1.23774,1.30488,0.66699,0.68898,0.71991,0.39231,1.5449,1.18892,1.43744,0.00042085,0.00042085,0.00042085
119,9533.13,1.24864,1.22129,1.29756,0.64576,0.69679,0.72056,0.39307,1.53927,1.19422,1.43515,0.0004159,0.0004159,0.0004159
120,9612.39,1.24965,1.25252,1.30445,0.7023,0.65398,0.70305,0.38519,1.5183,1.2214,1.42666,0.00041095,0.00041095,0.00041095
121,9685.99,1.21736,1.18436,1.28283,0.66651,0.64832,0.69525,0.38164,1.51958,1.2561,1.41105,0.000406,0.000406,0.000406
122,9756.38,1.23483,1.20522,1.29113,0.61461,0.6764,0.69205,0.3592,1.57916,1.27752,1.44163,0.00040105,0.00040105,0.00040105
123,9837.54,1.23882,1.20273,1.28515,0.66697,0.67764,0.71688,0.39766,1.51526,1.19662,1.39484,0.0003961,0.0003961,0.0003961
124,9938.39,1.22959,1.20927,1.29308,0.64842,0.70565,0.7153,0.39938,1.5341,1.22831,1.40155,0.00039115,0.00039115,0.00039115
125,10026.8,1.24737,1.19117,1.29725,0.69047,0.6789,0.72553,0.40215,1.52897,1.20118,1.41428,0.0003862,0.0003862,0.0003862
126,10114.4,1.227,1.19778,1.29303,0.6837,0.68897,0.73158,0.40339,1.53512,1.1697,1.40219,0.00038125,0.00038125,0.00038125
127,10202.1,1.22949,1.2047,1.28409,0.64859,0.69462,0.70792,0.38292,1.56423,1.21572,1.42267,0.0003763,0.0003763,0.0003763
128,10290.2,1.22238,1.20543,1.28749,0.69839,0.68074,0.72765,0.40255,1.51826,1.18074,1.40696,0.00037135,0.00037135,0.00037135
129,10377.1,1.22518,1.17741,1.28316,0.62843,0.69373,0.71485,0.40175,1.51391,1.19483,1.40026,0.0003664,0.0003664,0.0003664
130,10456.8,1.20715,1.16107,1.27647,0.64956,0.68825,0.72105,0.40005,1.50678,1.20709,1.3946,0.00036145,0.00036145,0.00036145
131,10550.3,1.19728,1.19159,1.28367,0.67978,0.70104,0.72403,0.39794,1.54122,1.18111,1.43099,0.0003565,0.0003565,0.0003565
132,10643.3,1.23308,1.19173,1.29174,0.64824,0.69327,0.71876,0.39879,1.50803,1.16799,1.40645,0.00035155,0.00035155,0.00035155
133,10743.2,1.21756,1.16933,1.28299,0.69283,0.67017,0.72409,0.39919,1.49902,1.20672,1.40265,0.0003466,0.0003466,0.0003466
134,10844.1,1.19759,1.15118,1.27344,0.66228,0.68968,0.72282,0.40304,1.50187,1.165,1.39551,0.00034165,0.00034165,0.00034165
135,10941.8,1.20549,1.15512,1.27564,0.67194,0.69585,0.72208,0.38858,1.55287,1.19773,1.42092,0.0003367,0.0003367,0.0003367
136,11020.2,1.20667,1.14056,1.26896,0.68888,0.70024,0.73179,0.40715,1.51765,1.17987,1.40993,0.00033175,0.00033175,0.00033175
137,11112.4,1.21566,1.15108,1.27735,0.70089,0.69026,0.73718,0.40217,1.49629,1.19525,1.40509,0.0003268,0.0003268,0.0003268
138,11193,1.2032,1.16134,1.27476,0.68442,0.6995,0.72745,0.39924,1.49138,1.23579,1.40121,0.00032185,0.00032185,0.00032185
139,11266.1,1.20081,1.13588,1.2672,0.74472,0.65318,0.73784,0.39767,1.55738,1.1778,1.4401,0.0003169,0.0003169,0.0003169
140,11341.7,1.19791,1.12979,1.27273,0.71205,0.68032,0.73323,0.4086,1.49631,1.17482,1.39872,0.00031195,0.00031195,0.00031195
141,11431.5,1.19564,1.12988,1.26117,0.68554,0.67727,0.73062,0.40467,1.50288,1.19329,1.4018,0.000307,0.000307,0.000307
142,11511.8,1.21248,1.14842,1.27485,0.69277,0.67447,0.72747,0.39527,1.54377,1.18517,1.43309,0.00030205,0.00030205,0.00030205
143,11589.7,1.19365,1.12278,1.27496,0.66542,0.70845,0.73154,0.40494,1.54056,1.18202,1.43733,0.0002971,0.0002971,0.0002971
